lancet_label,val.u5mort,lower.u5mort,upper.u5mort,val.u5mortROC,lower.u5mortROC,upper.u5mortROC,val.m45q15,lower.m45q15,upper.m45q15,val.f45q15,lower.f45q15,upper.f45q15,val.lexm,lower.lexm,upper.lexm,val.lexf,lower.lexf,upper.lexf,val.lexboth,lower.lexboth,upper.lexboth,val.deaths,lower.deaths,upper.deaths,val.u5deaths,lower.u5deaths,upper.u5deaths,2020.excess_deaths,2021.excess_deaths
Finland,2.2,1.9,2.6,-3.1,-3.9,-2.4,0.09,0.09,0.09,0.04,0.04,0.04,79.5,79.2,79.7,84.9,84.7,85.2,82.2,82,82.4,57.1,56.1,58.1,0,0,0,981.9647092359478,2319.2653494278943
France,4,3.6,4.5,-1.4,-1.9,-0.9,0.09,0.09,0.09,0.04,0.04,0.04,79.6,79.5,79.7,85.5,85.4,85.6,82.6,82.5,82.7,642.4,638.6,646.5,0.3,0.3,0.3,65156.37199382766,28188.647812098538
Germany,3.5,3.3,3.8,-2,-2.3,-1.6,0.09,0.09,0.09,0.05,0.05,0.05,78.5,78.5,78.6,83.4,83.3,83.5,81,80.9,81,1007.7,1001.9,1013.2,0.3,0.3,0.3,38362.49393458375,63224.933545621054
Greece,3.9,3.4,4.5,-2.2,-2.9,-1.5,0.11,0.11,0.11,0.05,0.05,0.05,77.2,77,77.5,82.8,82.6,83,80,79.8,80.2,144.3,142.1,146.5,0,0,0,4505.642244255648,14775.59793235227
Iceland,2.4,2,2.9,-2.3,-3.3,-1.2,0.07,0.07,0.07,0.04,0.04,0.04,82.3,81.6,83,84.9,84.2,85.5,83.6,82.9,84.3,2.3,2.2,2.4,0,0,0,-19.370708920772014,4.466273662274978
Ireland,3.4,2.9,3.8,-3.5,-4.2,-2.8,0.07,0.07,0.07,0.04,0.04,0.04,80.8,80.5,81,84.5,84.2,84.7,82.6,82.4,82.8,32.2,31.6,32.9,0,0,0,290.10560462929436,838.0861847632581
Israel,2.3,2,2.7,-5.1,-5.8,-4.3,0.07,0.07,0.07,0.04,0.03,0.04,81.2,80.9,81.5,85.1,84.9,85.3,83.2,82.9,83.4,50.1,49,51.1,0.1,0.1,0.1,2209.0904909515134,3211.3127581563303
Italy,2.9,2.6,3.3,-3,-3.6,-2.4,0.07,0.07,0.07,0.04,0.04,0.04,80.3,80.2,80.4,84.9,84.8,85,82.7,82.6,82.7,698.6,694.8,702.3,0.2,0.1,0.2,97683.8492829647,61868.322576772094
Luxembourg,3.5,2.9,4.2,-1,-1.9,-0.1,0.07,0.06,0.07,0.04,0.04,0.04,80.4,79.8,81,84.9,84.4,85.4,82.6,82,83.2,4.5,4.3,4.8,0,0,0,324.67481233854454,55.356024482283416
Malta,5.3,4.2,6.6,-1.7,-2.9,-0.5,0.07,0.07,0.08,0.04,0.04,0.04,81.3,80.6,82,84.1,83.4,84.7,82.7,81.9,83.3,4,3.8,4.3,0,0,0,276.85949216707684,239.85886902670578
Monaco,3.8,3.7,3.9,-1,-2.2,0.2,0.12,0.1,0.14,0.07,0.05,0.08,76.3,74.7,77.8,81.4,79.8,83.2,78.8,77.2,80.4,0.6,0.5,0.7,0,0,0,14.383387661428406,82.18076653253844
